experiment,method,output_stem,accuracy,ari,nmi
DINOv2 CUB50,laplacian,CUB_Cleaned50_dinov2_vits14_laplacian_label_propagation_k20_c50,0.7480096919349256,0.6834788975947161,0.8841902668346175
DINOv2 CUB50,direct_kmeans,CUB_Cleaned50_dinov2_vits14_direct_kmeans_c50,0.7847005884389062,0.7195733385328148,0.8802895252983706
DINOv2 Flowers,laplacian,Flowers_dinov2_vits14_laplacian_label_propagation_k20_c17,1.0,1.0,1.0
DINOv2 Flowers,direct_kmeans,Flowers_dinov2_vits14_direct_kmeans_c17,0.9963235294117647,0.9921443148701083,0.9930161007153947
AlexNet Flowers,laplacian,AlexNet_Flowers_laplacian_label_propagation_k20_c17,0.6448529411764706,0.5261812387781483,0.7209398064037965
AlexNet Flowers,direct_kmeans,AlexNet_Flowers_direct_kmeans_c17,0.6404411764705882,0.4748815248376692,0.6791633067900505
